Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,691017,-,-,-,30.97,-97.26,-6,169,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,AOD,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,,,,,,,,,,,,,,,,,,
2018,1,3,20,30,-0.1,1.25,0.021,0.63,0,0,0,0,0,-5.7,0,0,0,0,0.311,66.01,125.64,0.89,0.17,1007,0.6000000000000001,16,1.4000000000000001,,,,,,,,,,,,,,,,,,
2018,1,3,21,30,-0.5,1.26,0.02,0.63,0,0,0,0,0,-5.9,0,0,0,0,0.311,67.02,138.46,0.88,0.17,1008,0.6000000000000001,21,1.4000000000000001,,,,,,,,,,,,,,,,,,
2018,1,3,22,30,-0.30000000000000004,1.26,0.02,0.63,0,0,0,0,0,-6.2,0,0,0,0,0.311,64.58,151.27,0.88,0.17,1008,0.6000000000000001,30,1.3,,,,,,,,,,,,,,,,,,
2018,1,3,23,30,0,1.26,0.02,0.63,0,0,0,0,0,-6.6000000000000005,0,0,0,0,0.311,61.370000000000005,163.56,0.88,0.17,1007,0.6000000000000001,42,1.1,,,,,,,,,,,,,,,,,,
2018,1,4,0,30,0.1,1.27,0.019,0.63,0,0,0,0,0,-6.800000000000001,0,0,0,0,0.31,59.9,171.71,0.88,0.17,1007,0.6000000000000001,58,1,,,,,,,,,,,,,,,,,,
2018,1,4,1,30,0,1.27,0.019,0.63,0,0,0,0,0,-6.9,0,0,0,0,0.309,59.84,165.04,0.88,0.17,1007,0.6000000000000001,79,0.9,,,,,,,,,,,,,,,,,,
2018,1,4,2,30,-0.2,1.26,0.019,0.63,0,0,0,0,0,-6.9,0,0,0,0,0.308,60.83,152.92000000000002,0.88,0.17,1007,0.6000000000000001,91,0.8,,,,,,,,,,,,,,,,,,
2018,1,4,3,30,-0.1,1.26,0.019,0.63,0,0,0,0,0,-6.9,0,0,0,0,0.308,60.19,140.14000000000001,0.89,0.17,1007,0.6000000000000001,81,0.7000000000000001,,,,,,,,,,,,,,,,,,
2018,1,4,4,30,-0.4,1.26,0.02,0.63,0,0,0,0,0,-6.9,0,0,0,0,0.308,61.51,127.3,0.89,0.17,1007,0.6000000000000001,59,0.7000000000000001,,,,,,,,,,,,,,,,,,
2018,1,4,5,30,-1,1.27,0.02,0.63,0,0,0,0,0,-6.7,0,0,0,0,0.309,65.5,114.62,0.89,0.17,1008,0.6000000000000001,51,0.9,,,,,,,,,,,,,,,,,,
2018,1,4,6,30,-1.4000000000000001,1.27,0.021,0.63,0,0,0,0,0,-6.4,0,0,0,0,0.31,68.78,102.26,0.89,0.17,1008,0.6000000000000001,57,1,,,,,,,,,,,,,,,,,,
2018,1,4,7,30,-0.2,1.28,0.021,0.63,8,94,8,0,0,-5.2,8,94,0,8,0.31,69.02,89.85000000000001,0.89,0.17,1008,0.6000000000000001,63,1.2000000000000002,,,,,,,,,,,,,,,,,,
2018,1,4,8,30,2.1,1.3,0.022,0.63,40,682,167,1,0,-4.800000000000001,47,616,11,162,0.311,60.160000000000004,79.25,0.89,0.17,1009,0.6000000000000001,68,1.5,,,,,,,,,,,,,,,,,,
